Time start of stage ,Shear induced PWP,Axial strain,Vol strain,Induced PWP,p',q,e,Soil Classification,Soil Properties,Test Classification,Test Properties
0,0,0,0,0,151.4342407546315,4.645864523309171,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
5,0.18399999999996908,-2.2053796561078823e-05,0,0.18399999999996908,151.25031718462648,4.646093813293982,0.8239341592508584,Density,loose,Density,loose
10,0.4900000000000091,-2.2053796561078823e-05,0,0.4900000000000091,150.94431718462644,4.646093813293982,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
15,0.6119999999999663,-2.2053796561078823e-05,0,0.6119999999999663,150.82231718462648,4.646093813293982,0.8239341592508584,Density,loose,Density,loose
20,0.7950000000000728,0,0,0.7950000000000728,150.63924075463143,4.645864523309171,0.8239341592508584,PSD,sand,PSD,sand
25,0.9790000000000418,0,0,0.9790000000000418,150.6070663926481,5.10134143735909,0.8239341592508584,Density,loose,Density,loose
30,0.9180000000000064,1.470253104071704e-05,0,0.9180000000000064,150.8198366128925,5.5566520980922,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
35,1.3460000000000036,1.470253104071704e-05,0,1.3460000000000036,150.3918366128925,5.5566520980922,0.8239341592508584,Density,dense,Density,dense
40,1.5900000000000318,2.940506208143408e-05,0,1.5900000000000318,150.30972378026615,6.042313600213243,0.8239341592508584,PSD,sand,PSD,sand
45,1.6510000000000673,4.410759312215112e-05,0,1.6510000000000673,150.40048492281113,6.497597027848253,0.8239341592508584,PSD,clay,PSD,clay
50,1.8960000000000719,4.410759312215112e-05,0,1.8960000000000719,150.15548492281113,6.497597027848253,0.8239341592508584,Density,loose,Density,loose
55,2.2630000000000337,5.881012416287469e-05,0,2.2630000000000337,149.94024160091385,6.95286706215633,0.8239341592508584,Density,dense,Density,dense
60,2.324000000000069,5.881012416287469e-05,0,2.324000000000069,149.87924160091382,6.95286706215633,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
65,2.4460000000000264,7.351265520359172e-05,0,2.4460000000000264,149.91911477970163,7.438486598519645,0.8239341592508584,PSD,clay,PSD,clay
70,2.5679999999999836,8.821518624430877e-05,0,2.5679999999999836,149.79705013541528,7.438292665660506,0.8239341592508584,Density,loose,Density,loose
75,2.7520000000000664,8.821518624430877e-05,0,2.7520000000000664,149.6130501354152,7.438292665660506,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
80,3.0579999999999927,0.00010291771728502581,0,3.0579999999999927,149.45879550359746,7.893528770207015,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
85,3.3630000000000564,0.00010291771728502581,0,3.3630000000000564,149.1537955035974,7.893528770207015,0.8239341592508584,Density,dense,Density,dense
90,3.608000000000061,0.00011762024832574938,0,3.608000000000061,149.06053640733725,8.348751481426591,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
95,3.608000000000061,0.00013232277936646642,0,3.608000000000061,149.06046729860856,8.348544155240518,0.8239341592508584,PSD,clay,PSD,clay
100,3.6689999999999827,0.00013232277936646642,0,3.6689999999999827,148.99946729860864,8.348544155240518,0.8239341592508584,Density,loose,Density,loose
105,3.7910000000000537,0.00014702531040718345,0,3.7910000000000537,149.02920150568494,8.803746776469692,0.8239341592508584,PSD,clay,PSD,clay
110,3.9750000000000227,0.00014702531040718345,0,3.9750000000000227,148.84520150568497,8.803746776469692,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
115,3.9750000000000227,0.0001617278414479005,0,3.9750000000000227,149.007051320558,9.289296221088717,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
120,4.3419999999999845,0.00017643037248862405,0,4.3419999999999845,148.6399775985723,9.289075055131477,0.8239341592508584,PSD,silt,PSD,silt
125,4.647000000000048,0.00017643037248862405,0,4.647000000000048,148.48677644993498,9.74447160921979,0.8239341592508584,Density,loose,Density,loose
130,4.70799999999997,0.0001911329035293411,0,4.70799999999997,148.42570049572817,9.744243746599086,0.8239341592508584,PSD,silt,PSD,silt
135,4.70799999999997,0.0001911329035293411,0,4.70799999999997,148.42570049572817,9.744243746599086,0.8239341592508584,PSD,sand,PSD,sand
140,5.135999999999967,0.00020583543457005816,0,5.135999999999967,148.14941892844172,10.19939904473976,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
145,5.135999999999967,0.00020583543457005816,0,5.135999999999967,148.14941892844172,10.19939904473976,0.8239341592508584,PSD,clay,PSD,clay
150,5.01400000000001,0.00022053796561077518,0,5.01400000000001,148.27134074201362,10.199164485455588,0.8239341592508584,Density,loose,Density,loose
155,5.0750000000000455,0.00023524049665149223,0,5.0750000000000455,148.3721718062289,10.684657678101487,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
160,5.380999999999972,0.00023524049665149223,0,5.380999999999972,148.06617180622897,10.684657678101487,0.8239341592508584,PSD,sand,PSD,sand
165,5.503000000000043,0.0002499430276922158,0,5.503000000000043,147.94409123876494,10.684415975709616,0.8239341592508584,Density,dense,Density,dense
170,5.442000000000007,0.00026464555873293935,0,5.442000000000007,148.15679612933687,11.139530647425255,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
175,5.748000000000047,0.00026464555873293935,0,5.748000000000047,147.85079612933683,11.139530647425255,0.8239341592508584,PSD,silt,PSD,silt
180,5.8700000000000045,0.0002793480897736499,0,5.8700000000000045,147.72871332965175,11.139282248369918,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
185,5.8700000000000045,0.0002793480897736499,0,5.8700000000000045,147.72871332965175,11.139282248369918,0.8239341592508584,Density,dense,Density,dense
190,6.359000000000037,0.00029405062081437345,0,6.359000000000037,147.39141152356012,11.594376830095156,0.8239341592508584,Density,loose,Density,loose
195,6.664999999999964,0.00030875315185508394,0,6.664999999999964,147.08532649165394,11.59412173437635,0.8239341592508584,PSD,silt,PSD,silt
200,6.543000000000006,0.00030875315185508394,0,6.543000000000006,147.36922383711774,12.079813770767933,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
205,6.725999999999999,0.0003234556828958075,0,6.725999999999999,147.1861364241756,12.079551531941426,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
210,6.604000000000042,0.0003234556828958075,0,6.604000000000042,147.30813642417556,12.079551531941426,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
215,6.84800000000007,0.0003381582139365311,0,6.84800000000007,147.06404901123335,12.079289293114925,0.8239341592508584,Density,loose,Density,loose
220,7.032000000000039,0.0003528607449772416,0,7.032000000000039,146.8799615982912,12.079027054288423,0.8239341592508584,Density,dense,Density,dense
225,6.971000000000004,0.0003528607449772416,0,6.971000000000004,147.09273366300013,12.53434324841513,0.8239341592508584,Density,loose,Density,loose
230,7.093000000000075,0.00036756327601796516,0,7.093000000000075,146.97064401783675,12.534074312925155,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
235,7.399000000000001,0.0003822658070586887,0,7.399000000000001,146.6645543726735,12.533805377435185,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
240,7.215000000000032,0.0003822658070586887,0,7.215000000000032,146.84855437267348,12.533805377435185,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
245,7.337999999999965,0.00039696833809939926,0,7.337999999999965,146.87723009555566,12.988832546081522,0.8239341592508584,Density,dense,Density,dense
250,7.581999999999994,0.0004116708691401228,0,7.581999999999994,146.63313821817113,12.988556913928084,0.8239341592508584,PSD,silt,PSD,silt
255,7.704000000000065,0.0004116708691401228,0,7.704000000000065,146.51113821817106,12.988556913928084,0.8239341592508584,Density,dense,Density,dense
260,7.888000000000034,0.0004263734001808333,0,7.888000000000034,146.32704634078664,12.988281281774647,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
265,8.132000000000062,0.0004263734001808333,0,8.132000000000062,146.2348072443897,13.443563992584018,0.8239341592508584,PSD,sand,PSD,sand
270,8.194000000000074,0.0004410759312215569,0,8.194000000000074,146.17271313478406,13.44328166376711,0.8239341592508584,Density,dense,Density,dense
275,8.622000000000071,0.0004557784622622805,0,8.622000000000071,145.74461902517842,13.442999334950205,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
280,8.805000000000064,0.0004557784622622805,0,8.805000000000064,145.72349256028332,13.928619940264806,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
285,8.865999999999985,0.000470480993302991,0,8.865999999999985,145.66239606964186,13.928330468340201,0.8239341592508584,Density,dense,Density,dense
290,8.927000000000021,0.000470480993302991,0,8.927000000000021,145.60139606964182,13.928330468340201,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
295,9.172000000000025,0.00048518352434371453,0,9.172000000000025,145.35629957900028,13.928040996415598,0.8239341592508584,Density,dense,Density,dense
300,9.11099999999999,0.0004998860553844381,0,9.11099999999999,145.56895283085612,14.383000751983031,0.8239341592508584,Density,dense,Density,dense
305,9.293999999999983,0.0004998860553844381,0,9.293999999999983,145.38595283085613,14.383000751983031,0.8239341592508584,PSD,sand,PSD,sand
310,9.416000000000054,0.0005145885864251486,0,9.416000000000054,145.26385410799338,14.38270458339496,0.8239341592508584,PSD,silt,PSD,silt
315,9.293999999999983,0.0005292911174658722,0,9.293999999999983,145.38575538513075,14.38240841480689,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
320,9.416000000000054,0.0005439936485065827,0,9.416000000000054,145.4153997081019,14.837341383720451,0.8239341592508584,PSD,silt,PSD,silt
325,9.72199999999998,0.0005439936485065827,0,9.72199999999998,145.10939970810196,14.837341383720451,0.8239341592508584,PSD,silt,PSD,silt
330,9.966999999999985,0.0005586961795473063,0,9.966999999999985,144.86429875301812,14.83703851846891,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
335,9.906000000000063,0.0005586961795473063,0,9.906000000000063,144.92529875301804,14.83703851846891,0.8239341592508584,PSD,sand,PSD,sand
340,10.149999999999977,0.0005733987105880299,0,10.149999999999977,144.84305228475193,15.322299113670388,0.8239341592508584,PSD,silt,PSD,silt
345,10.456000000000017,0.0005881012416287404,0,10.456000000000017,144.53694894863216,15.32198910531115,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
350,10.63900000000001,0.0005881012416287404,0,10.63900000000001,144.35394894863217,15.32198910531115,0.8239341592508584,Density,dense,Density,dense
355,10.63900000000001,0.000602803772669464,0,10.63900000000001,144.3538456125124,15.32167909695192,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
360,10.577999999999975,0.0006248575692305427,0,10.577999999999975,144.41469060833285,15.321214084413066,0.8239341592508584,Density,loose,Density,loose
365,10.63900000000001,0.0006248575692305427,0,10.63900000000001,144.5054213769503,15.77640639026563,0.8239341592508584,PSD,sand,PSD,sand
370,10.884000000000015,0.0006395601002712533,0,10.884000000000015,144.26031580860942,15.776089685242923,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
375,11.005999999999972,0.0006542626313119768,0,11.005999999999972,144.13821024026853,15.775772980220223,0.8239341592508584,PSD,sand,PSD,sand
380,11.005999999999972,0.0006542626313119768,0,11.005999999999972,144.13821024026853,15.775772980220223,0.8239341592508584,PSD,silt,PSD,silt
385,11.190000000000055,0.0006689651623527004,0,11.190000000000055,143.95410467192755,15.775456275197516,0.8239341592508584,PSD,silt,PSD,silt
390,11.433999999999969,0.0006836676933934109,0,11.433999999999969,143.86172094331963,16.230305089373513,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
395,11.678999999999974,0.0006836676933934109,0,11.678999999999974,143.61672094331962,16.230305089373513,0.8239341592508584,Density,loose,Density,loose
400,11.801000000000045,0.0006983702244341345,0,11.801000000000045,143.49461314275752,16.22998168768734,0.8239341592508584,PSD,clay,PSD,clay
405,11.984000000000037,0.0006983702244341345,0,11.984000000000037,143.31161314275752,16.22998168768734,0.8239341592508584,PSD,clay,PSD,clay
410,12.04600000000005,0.0007277752865155686,0,12.04600000000005,143.40111268470284,16.684480313523295,0.8239341592508584,Density,loose,Density,loose
415,12.350999999999999,0.0007277752865155686,0,12.350999999999999,143.0961126847029,16.684480313523295,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
420,12.412000000000035,0.0007424778175562922,0,12.412000000000035,143.03500265191963,16.684150215173652,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
425,12.718000000000075,0.0007424778175562922,0,12.718000000000075,142.7290026519196,16.684150215173652,0.8239341592508584,PSD,sand,PSD,sand
430,12.657000000000039,0.0007571803485970026,0,12.657000000000039,142.95171734300536,17.169294288430805,0.8239341592508584,Density,loose,Density,loose
435,12.657000000000039,0.0007718828796377263,0,12.657000000000039,142.95160492918623,17.16895704697347,0.8239341592508584,Density,loose,Density,loose
440,12.778999999999996,0.0007718828796377263,0,12.778999999999996,142.82960492918627,17.16895704697347,0.8239341592508584,Density,loose,Density,loose
445,12.962999999999965,0.0007865854106784498,0,12.962999999999965,142.64549251536718,17.16861980551613,0.8239341592508584,Density,dense,Density,dense
450,13.206999999999994,0.0007865854106784498,0,13.206999999999994,142.55319872955195,17.623738448070558,0.8239341592508584,Density,dense,Density,dense
455,13.451999999999998,0.0008012879417191603,0,13.451999999999998,142.15638010154805,17.168282564058792,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
460,13.513000000000034,0.0008159904727598838,0,13.513000000000034,142.2469694374714,17.62305057182895,0.8239341592508584,Density,dense,Density,dense
465,13.390999999999963,0.0008159904727598838,0,13.390999999999963,142.36896943747146,17.62305057182895,0.8239341592508584,Density,dense,Density,dense
470,13.390999999999963,0.0008306930038006075,0,13.390999999999963,142.3688547914312,17.62270663370815,0.8239341592508584,Density,loose,Density,loose
475,13.57400000000007,0.0008453955348413179,0,13.57400000000007,142.18574014539084,17.622362695587345,0.8239341592508584,Density,dense,Density,dense
480,13.696000000000026,0.0008453955348413179,0,13.696000000000026,142.06374014539088,17.622362695587345,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
485,13.57400000000007,0.0008600980658820415,0,13.57400000000007,142.3373205524296,18.077103916703635,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
490,13.696000000000026,0.000874800596922752,0,13.696000000000026,142.2152036741682,18.076753281919363,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
495,14.002000000000066,0.0008895031279634756,0,14.002000000000066,141.90908679590675,18.076402647135094,0.8239341592508584,PSD,silt,PSD,silt
500,14.124000000000024,0.0008895031279634756,0,14.124000000000024,141.7870867959068,18.076402647135094,0.8239341592508584,Density,dense,Density,dense
505,14.307999999999993,0.0009042056590041991,0,14.307999999999993,141.76477083115535,18.56145475288062,0.8239341592508584,PSD,sand,PSD,sand
510,14.369000000000028,0.0009042056590041991,0,14.369000000000028,141.7037708311553,18.56145475288062,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
515,14.614000000000033,0.0009189081900449097,0,14.614000000000033,141.45865157185798,18.561096974988654,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
520,14.614000000000033,0.0009336107210856332,0,14.614000000000033,141.45853231256066,18.56073919709669,0.8239341592508584,PSD,sand,PSD,sand
525,14.980000000000018,0.0009336107210856332,0,14.980000000000018,141.2442162045339,19.01579087301645,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
530,15.163999999999987,0.0009483132521263568,0,15.163999999999987,141.06009471301547,19.015426398461006,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
535,15.286000000000058,0.0009483132521263568,0,15.286000000000058,140.9380947130154,19.015426398461006,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
540,15.225000000000023,0.0009630157831670673,0,15.225000000000023,140.99897322149695,19.015061923905577,0.8239341592508584,PSD,clay,PSD,clay
545,15.34699999999998,0.000977718314207791,0,15.34699999999998,140.8768517299785,19.014697449350138,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
550,15.591999999999985,0.000977718314207791,0,15.591999999999985,140.6318517299785,19.014697449350138,0.8239341592508584,Density,dense,Density,dense
555,15.714000000000055,0.0009924208452485013,0,15.714000000000055,140.50973023845995,19.0143329747947,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
560,15.898000000000025,0.0009924208452485013,0,15.898000000000025,140.47740520154863,19.469357864060584,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
565,15.836999999999989,0.001007123376289225,0,15.836999999999989,140.53828147780902,19.468986692841682,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
570,16.019999999999982,0.0010218259073299484,0,16.019999999999982,140.35515775406938,19.468615521622777,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
575,16.387000000000057,0.0010218259073299484,0,16.387000000000057,139.9881577540693,19.468615521622777,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
580,16.326000000000022,0.001036528438370659,0,16.326000000000022,140.04903403032972,19.468244350403882,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
585,16.387000000000057,0.001036528438370659,0,16.387000000000057,140.13970229675485,19.923249149679368,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
590,16.387000000000057,0.0010512309694113826,0,16.387000000000057,140.13957634079406,19.92287128179699,0.8239341592508584,PSD,sand,PSD,sand
595,16.44799999999998,0.0010659335004521062,0,16.44799999999998,140.07845038483333,19.92249341391462,0.8239341592508584,Density,dense,Density,dense
600,16.692000000000007,0.0010806360314928167,0,16.692000000000007,139.83432442887252,19.92211554603226,0.8239341592508584,PSD,clay,PSD,clay
605,16.630999999999972,0.0010806360314928167,0,16.630999999999972,139.89532442887256,19.92211554603226,0.8239341592508584,Density,dense,Density,dense
610,16.937000000000012,0.0010953385625335403,0,16.937000000000012,139.58919847291173,19.921737678149885,0.8239341592508584,Density,loose,Density,loose
615,16.875999999999976,0.0010953385625335403,0,16.875999999999976,139.65019847291177,19.921737678149885,0.8239341592508584,Density,loose,Density,loose
620,17.120000000000005,0.0011100410935742508,0,17.120000000000005,139.5678400959583,20.40666254728954,0.8239341592508584,Density,dense,Density,dense
625,17.05899999999997,0.0011247436246149744,0,17.05899999999997,139.62871175896163,20.40627753629947,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
630,17.303999999999974,0.0011247436246149744,0,17.303999999999974,139.38371175896162,20.40627753629947,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
635,17.426000000000045,0.0011394461556556979,0,17.426000000000045,139.26158342196487,20.4058925253094,0.8239341592508584,Density,loose,Density,loose
640,17.73199999999997,0.0011541486866964083,0,17.73199999999997,138.95545508496824,20.405507514319336,0.8239341592508584,PSD,silt,PSD,silt
645,17.548000000000002,0.0011541486866964083,0,17.548000000000002,139.1394550849682,20.405507514319336,0.8239341592508584,Density,loose,Density,loose
650,17.793000000000006,0.001168851217737132,0,17.793000000000006,139.0459749244063,20.860067032633548,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
655,17.793000000000006,0.001168851217737132,0,17.793000000000006,138.89432674797152,20.405122503329267,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
660,17.73199999999997,0.0011835537487778556,0,17.73199999999997,138.95519841097487,20.404737492339198,0.8239341592508584,Density,dense,Density,dense
665,18.099000000000046,0.001198256279818566,0,18.099000000000046,138.73971378597057,20.85928361732648,0.8239341592508584,PSD,silt,PSD,silt
670,18.099000000000046,0.0012129588108592895,0,18.099000000000046,138.73958321675272,20.85889190967294,0.8239341592508584,Density,dense,Density,dense
675,18.099000000000046,0.0012129588108592895,0,18.099000000000046,138.73958321675272,20.85889190967294,0.8239341592508584,PSD,sand,PSD,sand
680,17.914999999999964,0.0012276613419000002,0,17.914999999999964,138.92345264753496,20.858500202019407,0.8239341592508584,Density,dense,Density,dense
685,18.221000000000004,0.001249715138461079,0,18.221000000000004,138.61725679370815,20.8579126405391,0.8239341592508584,PSD,clay,PSD,clay
690,18.466000000000008,0.001249715138461079,0,18.466000000000008,138.52389269292655,21.312820338194314,0.8239341592508584,PSD,clay,PSD,clay
695,18.466000000000008,0.001249715138461079,0,18.466000000000008,138.52389269292655,21.312820338194314,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
700,18.587999999999965,0.0012644176695018026,0,18.587999999999965,138.4017598914876,21.312421933877314,0.8239341592508584,Density,dense,Density,dense
705,18.587999999999965,0.001279120200542526,0,18.587999999999965,138.40162709004858,21.31202352956031,0.8239341592508584,PSD,clay,PSD,clay
710,18.587999999999965,0.001279120200542526,0,18.587999999999965,138.40162709004858,21.31202352956031,0.8239341592508584,PSD,clay,PSD,clay
715,18.95500000000004,0.0012938227315832367,0,18.95500000000004,138.03449428860952,21.31162512524331,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
720,18.95500000000004,0.0013085252626239602,0,18.95500000000004,138.19609692219322,21.796433025994403,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
725,19.015999999999963,0.0013085252626239602,0,19.015999999999963,138.1350969221933,21.796433025994403,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
730,19.19900000000007,0.0013232277936646706,0,19.19900000000007,137.95196173971829,21.7960274785697,0.8239341592508584,PSD,clay,PSD,clay
735,19.383000000000038,0.0013232277936646706,0,19.383000000000038,137.76796173971832,21.7960274785697,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
740,19.56600000000003,0.0013379303247053943,0,19.56600000000003,137.58482655724342,21.795621931145003,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
745,19.75,0.001352632855746118,0,19.75,137.40069137476854,21.795216383720298,0.8239341592508584,Density,loose,Density,loose
750,19.87200000000007,0.001352632855746118,0,19.87200000000007,137.4303116484388,22.25007720473124,0.8239341592508584,PSD,sand,PSD,sand
755,19.811000000000035,0.0013673353867868284,0,19.811000000000035,137.49117423374278,22.249664960643077,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
760,19.932999999999993,0.0013820379178275518,0,19.932999999999993,137.36903681904676,22.249252716554906,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
765,20.115999999999985,0.0013820379178275518,0,20.115999999999985,137.18603681904676,22.249252716554906,0.8239341592508584,Density,dense,Density,dense
770,20.36099999999999,0.0013967404488682755,0,20.36099999999999,136.94089940435072,22.248840472466743,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
775,20.66700000000003,0.001411442979908986,0,20.66700000000003,136.6347619896546,22.24842822837857,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
780,20.605999999999995,0.001411442979908986,0,20.605999999999995,136.84737333444033,22.70326226273564,0.8239341592508584,PSD,silt,PSD,silt
785,20.605999999999995,0.0014261455109497096,0,20.605999999999995,136.84723368752313,22.70284332198401,0.8239341592508584,PSD,clay,PSD,clay
790,20.850000000000023,0.0014261455109497096,0,20.850000000000023,136.6032336875231,22.70284332198401,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
795,20.728000000000065,0.0014555505730311437,0,20.728000000000065,136.72495439368865,22.70200544048074,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
800,20.97199999999998,0.0014555505730311437,0,20.97199999999998,136.48095439368873,22.70200544048074,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
805,20.97199999999998,0.0014702531040718672,0,20.97199999999998,136.63241716267257,23.156393747432308,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
810,21.095000000000027,0.0014849556351125778,0,21.095000000000027,136.50927528353415,23.155968110017202,0.8239341592508584,PSD,clay,PSD,clay
815,21.216999999999985,0.0014849556351125778,0,21.216999999999985,136.3872752835342,23.155968110017202,0.8239341592508584,Density,loose,Density,loose
820,21.216999999999985,0.0014996581661533013,0,21.216999999999985,136.38713340439583,23.1555424726021,0.8239341592508584,Density,loose,Density,loose
825,21.401000000000067,0.001514360697194025,0,21.401000000000067,136.20299152525737,23.155116835187,0.8239341592508584,Density,dense,Density,dense
830,21.46199999999999,0.001514360697194025,0,21.46199999999999,136.14199152525745,23.155116835187,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
835,21.58400000000006,0.0015290632282347354,0,21.58400000000006,136.019849646119,23.154691197771893,0.8239341592508584,Density,dense,Density,dense
840,21.644999999999982,0.0015290632282347354,0,21.644999999999982,136.1205493656033,23.63979035622452,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
845,21.644999999999982,0.001543765759275459,0,21.644999999999982,136.12040510542906,23.63935757570172,0.8239341592508584,Plasticity,non-plastic,Plasticity,non-plastic
850,21.644999999999982,0.0015584682903161695,0,21.644999999999982,136.12026084525476,23.63892479517892,0.8239341592508584,PSD,sand,PSD,sand
855,21.951000000000022,0.0015584682903161695,0,21.951000000000022,135.81426084525472,23.63892479517892,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
860,21.8900000000001,0.0015731708213568931,0,21.8900000000001,136.02670337543336,24.09325238571506,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
865,22.011999999999944,0.0015878733523976166,0,22.011999999999944,135.9045568830381,24.092812908528785,0.8239341592508584,Plasticity,plastic,Plasticity,plastic
870,22.073000000000093,0.0015878733523976166,0,22.073000000000093,135.84355688303796,24.092812908528785,0.8239341592508584,PSD,sand,PSD,sand
875,22.378999999999905,0.001602575883438327,0,22.378999999999905,135.53741039064272,24.092373431342523,0.8239341592508584,Plasticity,unknown,Plasticity,unknown
880,22.317999999999984,0.001602575883438327,0,22.317999999999984,135.59841039064264,24.092373431342523,0.8239341592508584,PSD,silt,PSD,silt
885,22.440000000000055,0.0016172784144790507,0,22.440000000000055,135.47626389824714,24.091933954156254,0.8239341592508584,Density,loose,Density,loose
890,22.440000000000055,0.0016319809455197743,0,22.440000000000055,135.62769526732006,24.54622806137505,0.8239341592508584,Density,loose,Density,loose
